datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
10/31/1991 18:34,willow grove,pa,1,United States,other,5,5 sec,Huge &quot;V&quot; shape craft as seen before over mountains in California/Las Vegas.,7/16/2006,40.1438889,-75.1161111
10/31/1992 19:00,osterville,ma,1,United States,rectangle,10,10 seconds,A seemingly close object with a rectangular pattern of lights moved silently,11/26/2003,41.6283333,-70.3875
10/31/1992 22:00,jackson,mi,1,United States,fireball,15,15 seconds,Saw what appeared to be a meteor at first&#44 but discovered differenty.,9/13/2002,42.2458333,-84.4013889
10/31/1993 20:00,cape coral,fl,1,United States,triangle,120,2 minutes,I never reported this&#44 but since I found this website&#44 thought I would in case anyone else may have reported something around the same,01-12-12,26.5625,-81.9497222
10/31/1994 18:00,spring valley,Canada,1,United States,light,2700,45 minutes,red light over Tijuana Mexico viewed from Spring Valley,09-02-05,32.7447222,-116.9980556
10/31/1994 21:00,white pine,tn,1,United States,sphere,900,15 minutes,Yellowish/orange sphere seen by 4 police officers in East Tn,8/21/2011,36.1075,-83.2869444
10/31/1995 19:00,tacoma,wa,1,United States,light,120,2 min.,Woman sees extremely bright&#44 &quot;fuschia-pink&quot; ball of light settle into neighbor&#39s field&#33  Light reflected off truck; dog stared at it.,11-02-99,47.2530556,-122.4430556
10/31/1995 20:45,startup,wa,1,United States,Unknown,240,4 min.,Woman witnessed apparently round obj. w/ 7 lights on rim&#44 alternating red &amp; white.  Lights gave impression they were &quot;circling.&quot;,9/28/2002,47.8680556,-121.7391667
10/31/1995 21:10,tacoma,wa,1,United States,Unknown,4,4 sec.,Man sitting in hot tub sees &quot;satellite&quot; in E sky.  Obj. suddenly accelerated dramatically&#44 made zigzag turns&#44 departed very fast.,11-02-99,47.2530556,-122.4430556
10/31/1995 22:00,rockdale county,ga,1,United States,circle,300,5 minutes,I think I was purposely visited becuase of events in my life . My arabic grandmother had just passed.,5/15/2013,33.7869444,-84.435
10/31/1995 22:05,west hartford,ct,1,United States,Unknown,20,20 sec.,Passenger in car noticed &quot;haze&quot; that appeared to be divided into 3 &quot;sections&quot; w/ bright light in center.  Changed shape&#44 became disc.,11-02-99,41.7636111,-72.6855556
10/31/1995 23:35,regina (canada),sa,1,Canada,triangle,300,5 min.,On October 31&#44 1995&#44 I was outside waiting for my cab to take me to work.  I looked up to the East sky and first noticed a light which,7/26/2002,50.45,-104.616667
10/31/1996 02:15,boerne,tx,1,United States,Unknown,30,30 sec.,Sec. officer at hospital  sees very bright blue light.  Silhouetted by cloud&#44 appears as &quot;coffee table w/ shirt box on top.&quot; Erratic.,11-02-99,29.7944444,-98.7316667
10/31/1996 22:00,rockford,mi,1,United States,flash,5,5 seconds,It was on a Halloween night and I saw a flash in the sky and zoomed off in the air with a bunch of colors following it.,12/16/2005,43.12,-85.56
10/31/1996 22:00,wichita,ks,1,United States,light,300,~5 minutes,Another report of the 3 flashing lights in the sky Halloween &#3996,06-12-07,37.6922222,-97.3372222
10/31/1997 00:00,nocona,tx,1,United States,sphere,12,12 seconds,A very dim&#44 round ball of light that moved at a very high speed across the sky--much faster than a jet&#44 but slower than a meteorite.,1/28/1999,33.7866667,-97.7255556
10/31/1997 10:00,el paso,tx,1,United States,other,120,2 minutes,I saw  what appeared papers swirling high in the atmosphere. They changed into two huge white kite like objects which then turned into,1/28/1999,31.7586111,-106.4863889
10/31/1997 22:18,santa ana,Canada,1,United States,light,120,2 min.,Saw an orange&#44 round object in the northern sky under clear conditions. Object was flickering in brightness and was moving very slowly,06-02-98,33.7455556,-117.8669444
10/31/1998 10:00,anchorage,ak,1,United States,circle,10,10 seconds,It was gray and did not move or have any light to it.,03-02-04,61.2180556,-149.9002778
10/31/1998 19:00,interstate 80 (westbound&#44 location unknown),oh,1,Unknown,light,2700,45 minutes,A strange light behind the clouds followed our car for at least 45 minutes&#44appearing and disappearing several times&#44for alomost the ent,11/19/1998,41.334209,-82.674611
10/31/1998 19:00,missoula,mt,1,United States,changing,20,20 seconds,I noticed a very dim pin point of what looked like a star go from a pin point to half the size of the moon while its light intensified,11/19/1998,46.8722222,-113.9930556
